Speed[r/min],Torque[Nm],Current (Id)[A],
0,0,0,
0,16.9154228855721,-0.495702218766899,
0,33.8308457711443,-1.8466094695927,
0,50.7462686567164,-3.83888531329849,
0,67.6616915422886,-6.26044725456181,
0,84.5771144278607,-8.91416954405382,
0,101.492537313433,-11.6251187839955,
0,118.407960199005,-14.2422682956696,
0,135.323383084577,-16.6356007972066,
0,152.238805970149,-18.6897871824144,
0,169.154228855721,-20.3175294124511,
0,186.069651741294,-21.7916610590503,
0,202.985074626866,-23.2274659085445,
0,219.900497512438,-24.6266976933769,
0,236.81592039801,-25.991110145991,
0,253.731343283582,-27.3224569988301,
0,270.646766169154,-28.6224919843375,
0,287.562189054726,-29.8929688349567,
0,304.477611940298,-31.1356412831309,
0,321.393034825871,-32.3522630613035,
0,338.308457711443,-33.5461123819677,
0,355.223880597015,-34.724742578694,
0,372.139303482587,-35.8891424335868,
0,389.054726368159,-37.0395355192955,
0,405.970149253731,-38.1761454084695,
0,422.885572139303,-39.2991956737579,
0,439.800995024876,-40.4089098878103,
0,456.716417910448,-41.5055116232759,
0,473.63184079602,-42.5892244528041,
0,490.547263681592,-43.6602719490442,
0,507.462686567164,-44.7215294957804,
0,524.378109452736,-45.7772735353557,
0,541.293532338308,-46.8278126540076,
0,558.208955223881,-47.8734136184987,
0,575.124378109453,-48.9143431955915,
0,592.039800995025,-49.9508681520486,
0,608.955223880597,-50.9832552546328,
0,625.870646766169,-52.0117712701065,
0,642.786069651741,-53.0366829652323,
0,659.701492537313,-54.0583889599625,
0,676.616915422886,-55.0827941529172,
0,693.532338308458,-56.1150717233282,
0,710.44776119403,-57.1582455695722,
0,727.363184079602,-58.2154904919748,
0,744.278606965174,-59.2901268485658,
0,761.194029850746,-60.3856142275931,
0,778.109452736318,-61.5055440362122,
0,795.02487562189,-62.6536308962859,
0,811.940298507463,-63.8337027280245,
0,828.855721393035,-65.0478035190925,
0,845.771144278607,-66.2854251164365,
0,862.686567164179,-67.542368053163,
0,879.601990049751,-68.8161979380377,
0,896.517412935323,-70.1043243103461,
0,913.432835820895,-71.4040072811666,
0,930.348258706468,-72.7123635887176,
0,947.26368159204,-74.0263719499075,
0,964.179104477612,-75.342877585844,
0,981.094527363184,-76.6585957957241,
0,998.009950248756,-77.9716311203124,
0,1014.92537313433,-79.2836275074232,
0,1031.8407960199,-80.5945135510286,
0,1048.75621890547,-81.9041231352991,
0,1065.67164179104,-83.2122928769768,
0,1082.58706467662,-84.5188619725103,
0,1099.50248756219,-85.8236720433601,
0,1116.41791044776,-87.1265669794886,
0,1133.33333333333,-88.4273927810491,
0,1150.24875621891,-89.7260038097907,
0,1167.16417910448,-91.0235603269739,
0,1184.07960199005,-92.320663548766,
0,1200.99502487562,-93.6168129071728,
0,1217.91044776119,-94.9114940242636,
0,1234.82587064677,-96.2041785935319,
0,1251.74129353234,-97.4943242064705,
0,1268.65671641791,-98.7813741223492,
0,1285.57213930348,-100.06475697919,
0,1302.48756218905,-101.343886443951,
0,1319.40298507463,-102.618858384479,
0,1336.3184079602,-103.896759350173,
0,1353.23383084577,-105.179573014225,
0,1370.14925373134,-106.467279659513,
0,1387.06467661692,-107.759858498747,
0,1403.98009950249,-109.057287686185,
0,1420.89552238806,-110.359544329373,
0,1437.81094527363,-111.666604500932,
0,1454.7263681592,-112.978443250367,
0,1471.64179104478,-114.295034615896,
0,1488.55721393035,-115.616186422175,
0,1505.47263681592,-116.941349141311,
0,1522.38805970149,-118.270491422022,
0,1539.30348258706,-119.60362392597,
0,1556.21890547264,-120.940756657829,
0,1573.13432835821,-122.281898978472,
0,1590.04975124378,-123.627059617823,
0,1606.96517412935,-124.976246687359,
0,1623.88059701493,-126.329467692271,
0,1640.7960199005,-127.686729543268,
0,1657.71144278607,-129.04791223786,
0,1674.62686567164,-130.412849662416,
0,1691.54228855721,-131.781507683274,
0,1708.45771144279,-133.153851366838,
0,1725.37313432836,-134.529844798302,
0,1742.28855721393,-135.909451097399,
0,1759.2039800995,-137.292632433785,
0,1776.11940298507,-138.679350042022,
0,1793.03482587065,-140.069564236173,
0,1809.95024875622,-141.46305167469,
0,1826.86567164179,-142.856063896606,
0,1843.78109452736,-144.247423563715,
0,1860.69651741294,-145.637528038522,
0,1877.61194029851,-147.026786756516,
0,1894.52736318408,-148.41562126321,
0,1911.44278606965,-149.804465239303,
0,1928.35820895522,-151.193764512456,
0,1945.2736318408,-152.583977054168,
0,1962.18905472637,-153.975572960248,
0,1979.10447761194,-155.368977619558,
0,1996.01990049751,-156.764305632009,
0,2012.93532338308,-158.16177683195,
0,2029.85074626866,-159.561645801399,
0,2046.76616915423,-160.964173181312,
0,2063.6815920398,-162.369625624786,
0,2080.59701492537,-163.778275745496,
0,2097.51243781094,-165.190402060943,
0,2114.42786069652,-166.60628893015,
0,2131.34328358209,-168.026226485405,
0,2148.25870646766,-169.451619546391,
0,2165.17412935323,-170.883702590978,
0,2182.08955223881,-172.321049694744,
0,2199.00497512438,-173.762162644426,
0,2215.92039800995,-175.205512814914,
0,2232.83582089552,-176.649541434627,
0,2249.75124378109,-178.0926596259,
0,2266.66666666667,-179.533248208156,
0,2283.58208955224,-180.969657251606,
0,2300.49751243781,-182.400279548639,
0,2317.41293532338,-183.828246578648,
0,2334.32835820895,-185.256276934025,
0,2351.24378109453,-186.684800124936,
0,2368.1592039801,-188.114254917717,
0,2385.07462686567,-189.54508936953,
0,2401.99004975124,-190.977760850006,
0,2418.90547263682,-192.412736048921,
0,2435.82089552239,-193.850490968882,
0,2452.73631840796,-195.291510902067,
0,2469.65174129353,-196.736176582563,
0,2486.5671641791,-198.183990729111,
0,2503.48258706468,-199.634925970218,
0,2520.39800995025,-201.089120002289,
0,2537.31343283582,-202.54671292712,
0,2554.22885572139,-204.007847239524,
0,2571.14427860697,-205.472667814017,
0,2588.05970149254,-206.941321890526,
0,2604.97512437811,-208.413959059013,
0,2621.89054726368,-209.890731242981,
0,2638.80597014925,-211.371732016875,
0,2655.72139303483,-212.856763267428,
0,2672.6368159204,-214.345578779376,
0,2689.55223880597,-215.837930691195,
0,2706.46766169154,-217.333566368714,
0,2723.38308457711,-218.832228421871,
0,2740.29850746269,-220.333654713309,
0,2757.21393034826,-221.837578358513,
0,2774.12935323383,-223.343727717136,
0,2791.0447761194,-224.851817205189,
0,2807.96019900498,-226.353525934888,
0,2824.87562189055,-227.843435021499,
0,2841.79104477612,-229.324065840444,
0,2858.70646766169,-230.79798376025,
0,2875.62189054726,-232.267800518011,
0,2892.53731343284,-233.736176094681,
0,2909.45273631841,-235.205820063212,
0,2926.36815920398,-236.67949238279,
0,2943.28358208955,-238.16000361255,
0,2960.19900497512,-239.650188058576,
0,2977.1144278607,-241.151906283618,
0,2994.02985074627,-242.665794975607,
0,3010.94527363184,-244.192429980582,
0,3027.86069651741,-245.732392680804,
0,3044.77611940298,-247.286269627031,
0,3061.69154228856,-248.854652144036,
0,3078.60696517413,-250.438135908442,
0,3095.5223880597,-252.037320497894,
0,3112.43781094527,-253.652808910569,
