Speed[r/min],Torque[Nm],Power Factor,
0,0,0,
0,16.9154228855721,0.18166551180212,
0,33.8308457711443,0.348077193103786,
0,50.7462686567164,0.498140678928467,
0,67.6616915422886,0.630761604299636,
0,84.5771144278607,0.744845604240765,
0,101.492537313433,0.839298313775324,
0,118.407960199005,0.913025367926786,
0,135.323383084577,0.964932401718622,
0,152.238805970149,0.993925050174304,
0,169.154228855721,1,
0,186.069651741294,1,
0,202.985074626866,1,
0,219.900497512438,1,
0,236.81592039801,1,
0,253.731343283582,1,
0,270.646766169154,1,
0,287.562189054726,1,
0,304.477611940298,1,
0,321.393034825871,1,
0,338.308457711443,1,
0,355.223880597015,1,
0,372.139303482587,1,
0,389.054726368159,1,
0,405.970149253731,1,
0,422.885572139303,1,
0,439.800995024876,1,
0,456.716417910448,1,
0,473.63184079602,1,
0,490.547263681592,1,
0,507.462686567164,1,
0,524.378109452736,1,
0,541.293532338308,1,
0,558.208955223881,1,
0,575.124378109453,1,
0,592.039800995025,1,
0,608.955223880597,1,
0,625.870646766169,1,
0,642.786069651741,1,
0,659.701492537313,1,
0,676.616915422886,1,
0,693.532338308458,1,
0,710.44776119403,1,
0,727.363184079602,1,
0,744.278606965174,1,
0,761.194029850746,1,
0,778.109452736318,1,
0,795.02487562189,1,
0,811.940298507463,1,
0,828.855721393035,1,
0,845.771144278607,1,
0,862.686567164179,1,
0,879.601990049751,1,
0,896.517412935323,1,
0,913.432835820895,1,
0,930.348258706468,1,
0,947.26368159204,1,
0,964.179104477612,1,
0,981.094527363184,1,
0,998.009950248756,1,
0,1014.92537313433,1,
0,1031.8407960199,1,
0,1048.75621890547,1,
0,1065.67164179104,1,
0,1082.58706467662,1,
0,1099.50248756219,1,
0,1116.41791044776,1,
0,1133.33333333333,1,
0,1150.24875621891,1,
0,1167.16417910448,1,
0,1184.07960199005,1,
0,1200.99502487562,1,
0,1217.91044776119,1,
0,1234.82587064677,1,
0,1251.74129353234,1,
0,1268.65671641791,1,
0,1285.57213930348,1,
0,1302.48756218905,1,
0,1319.40298507463,1,
0,1336.3184079602,1,
0,1353.23383084577,1,
0,1370.14925373134,1,
0,1387.06467661692,1,
0,1403.98009950249,1,
0,1420.89552238806,1,
0,1437.81094527363,1,
0,1454.7263681592,1,
0,1471.64179104478,1,
0,1488.55721393035,1,
0,1505.47263681592,1,
0,1522.38805970149,1,
0,1539.30348258706,1,
0,1556.21890547264,1,
0,1573.13432835821,1,
